角色名,别名,启用,初登场年份（类型：ordered）,初登场作品（类型：exact-close）,发色（类型：exact-multi）,是敌人吗？（仅整数非对战新作）（类型：category-multi）,是自机吗？（类型：category-multi）,所属地点（类型：category-multi）,种族（类型：category-multi）
村纱水蜜,,是,2009,东方星莲船 > 东方文花帖DS | 东方刚欲异闻 | 东方智灵奇传,黑/棕色,是 > 是第4面,是 > 是格斗作,命莲寺,妖怪
大妖精,,是,2002,东方红魔乡,绿色,是 > 是第2面,不是,其他/不定,妖怪 > 妖精
道神驯子,,是,2025,东方锦上京,蓝色,是 > 是第3面,不是,地底 > 浅间净秽山,神明
丁礼田舞,,是,2017,东方天空璋,绿色,是 > 是第5面 | 是 > 是EX/PH面,不是,异界 > 后户,人类 > 摩多罗童子 | 妖怪
东风谷早苗,,是,2007,东方风神录 > 东方星莲船 | 东方茨歌仙 | 东方文花帖DS | 东方神灵庙 | 东方绀珠传 | 东方醉蝶华 | 东方虹龙洞 | 东方智灵奇传 | 东方兽王园,绿色,是 > 是第5面 | 是 > 是EX/PH面,是 > 是弹幕作 | 是 > 是格斗作,妖怪之山 > 守矢神社,人类 | 神明
渡里贝子,渡里妮娜,是,2025,东方锦上京 > 东方香霖堂,金色,是 > 是EX/PH面,不是,地底 > 浅间净秽山 | 其他/不定,妖怪
多多良小伞,,是,2009,东方星莲船 > 东方文花帖DS | 东方神灵庙 | 东方刚欲异闻 | 东方智灵奇传,蓝色,是 > 是第2面 | 是 > 是第3面 | 是 > 是EX/PH面,不是,命莲寺 | 其他/不定,妖怪 > 付丧神
哆来咪·苏伊特,,是,2015,东方绀珠传 > 东方香霖堂 | 东方凭依华,蓝色,是 > 是第3面 | 是 > 是EX/PH面,是 > 是格斗作,异界 > 梦境世界,妖怪
尔子田里乃,,是,2017,东方天空璋,黑/棕色,是 > 是第5面 | 是 > 是EX/PH面,不是,异界 > 后户,人类 > 摩多罗童子 | 妖怪
二岩猯藏,,是,2011,东方神灵庙 > 东方茨歌仙 | 东方铃奈庵 | 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方醉蝶华 | 东方智灵奇传 | 东方兽王园,黑/棕色,是 > 是EX/PH面,是 > 是弹幕作 | 是 > 是格斗作,外面世界 | 命莲寺 | 魔法森林,妖怪 > 妖兽
饭纲丸龙,,是,2021,东方虹龙洞 > 东方醉蝶华,蓝色,是 > 是第5面,不是,妖怪之山,妖怪 > 天狗
丰聪耳神子,,是,2011,东方神灵庙 > 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方醉蝶华 | 东方智灵奇传,金色,是 > 是第6面,是 > 是格斗作,异界 > 神灵庙 | 异界 > 仙界,神明 > 仙人/天人
风见幽香,,是,2005,东方花映塚 > 东方求闻史纪,绿色,不是,是 > 是弹幕作,太阳花田,妖怪
封兽魑魅,,是,2025,东方锦上京,银/白/灰色,是 > 是第2面,不是,妖怪之山 > 圣域,妖怪
封兽鵺,,是,2009,东方星莲船 > 东方文花帖DS | 东方神灵庙 | 东方铃奈庵 | 东方智灵奇传,黑/棕色,是 > 是第4面 | 是 > 是第6面 | 是 > 是EX/PH面,不是,命莲寺,妖怪
芙兰朵露·斯卡蕾特,,是,2002,东方红魔乡 > 东方求闻史纪 | 东方文花帖（书籍） | 东方刚欲异闻 | 东方智灵奇传,金色,是 > 是EX/PH面,是 > 是格斗作,雾之湖周边 > 红魔馆,妖怪 > 吸血鬼
高丽野阿吽,,是,2017,东方天空璋 > 东方兽王园,绿色,是 > 是第3面,是 > 是弹幕作,博丽神社,妖怪
宫出口瑞灵,反狱王,是,2022,东方智灵奇传,蓝色,不是,不是,地底 > 旧地狱 | 其他/不定,妖怪 > 怨灵
宫古芳香,,是,2011,东方神灵庙 > 东方智灵奇传,蓝色,是 > 是第3面 | 是 > 是第4面,不是,命莲寺 > 命莲寺墓地,妖怪
古明地觉,,是,2008,东方地灵殿 > 东方文花帖DS | 东方智灵奇传,粉色,是 > 是第4面,不是,地底 > 地灵殿,妖怪 > 觉妖怪
古明地恋,,是,2008,东方地灵殿 > 东方文花帖DS | 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方智灵奇传,绿色 | 银/白/灰色,是 > 是EX/PH面,是 > 是格斗作,地底 > 地灵殿 | 其他/不定,妖怪 > 觉妖怪
鬼人正邪,,是,2013,东方辉针城 > 东方智灵奇传,黑/棕色 | 花色,是 > 是第5面 | 是 > 是第6面,是 > 是弹幕作,幻想乡上空 > 辉针城 | 其他/不定,妖怪
豪德寺三花,,是,2021,东方虹龙洞,银/白/灰色 | 花色,是 > 是第1面,不是,妖怪之山,妖怪
河城荷取,,是,2007,东方风神录 > 东方三月精 | 东方文花帖DS | 东方铃奈庵 | 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方醉蝶华 | 东方智灵奇传,蓝色,是 > 是第3面,是 > 是格斗作,妖怪之山,妖怪
赫卡提亚·拉碧斯拉祖利,,是,2015,东方绀珠传 > 东方三月精,金色 | 红色 | 蓝色,是 > 是EX/PH面,不是,异界 > 地狱 | 异界 | 其他/不定,神明 > 神灵
黑谷山女,,是,2008,东方地灵殿 > 东方文花帖DS | 东方刚欲异闻 | 东方智灵奇传,金色,是 > 是第1面,不是,地底 > 昏暗的洞穴,妖怪
红美铃,,是,2002,东方红魔乡 > 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方文花帖（书籍） | 东方智灵奇传,红色,是 > 是第3面,是 > 是格斗作,雾之湖周边 > 红魔馆,妖怪
魂魄妖梦,,是,2003,东方妖妖梦 > 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方神灵庙 | 东方醉蝶华 | 东方鬼形兽 | 东方智灵奇传,银/白/灰色,是 > 是第5面 | 是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,异界 > 冥界,妖怪 > 半人
火焰猫燐,,是,2008,东方地灵殿 > 东方文花帖DS | 东方醉蝶华 | 东方智灵奇传 | 东方兽王园,红色,是 > 是第4面 | 是 > 是第5面 | 是 > 是第6面,是 > 是弹幕作,地底 > 地灵殿,妖怪
霍青娥,,是,2011,东方神灵庙 > 东方智灵奇传,蓝色,是 > 是第4面,不是,其他/不定,神明 > 仙人/天人
姬虫百百世,,是,2021,东方虹龙洞,银/白/灰色,是 > 是EX/PH面,不是,妖怪之山 | 地底,妖怪
姬海棠果,,是,2010,东方文花帖DS > 东方智灵奇传,黑/棕色,不是,是 > 是弹幕作,妖怪之山,妖怪 > 天狗
吉弔八千慧,吉吊八千慧,是,2019,东方鬼形兽 > 东方香霖堂 | 东方兽王园,金色,是 > 是第4面,是 > 是弹幕作,异界 > 地狱 | 异界 > 畜生界,妖怪
菅牧典,,是,2021,东方虹龙洞 > 东方兽王园,金色,是 > 是第5面 | 是 > 是第6面 | 是 > 是EX/PH面,是 > 是弹幕作,妖怪之山,妖怪
键山雏,,是,2007,东方风神录 > 东方文花帖DS | 东方智灵奇传,绿色,是 > 是第2面,不是,妖怪之山,神明
今泉影狼,,是,2013,东方辉针城,黑/棕色,是 > 是第3面,不是,迷途竹林 | 其他/不定,妖怪
九十九八桥,,是,2013,东方辉针城,黑/棕色,是 > 是第4面 | 是 > 是EX/PH面,不是,其他/不定,妖怪 > 付丧神
九十九弁弁,,是,2013,东方辉针城 > 东方智灵奇传,蓝色 | 紫色,是 > 是第4面 | 是 > 是EX/PH面,不是,其他/不定,妖怪 > 付丧神
驹草山如,驹草太夫,是,2021,东方虹龙洞 > 东方醉蝶华,紫色,是 > 是第3面,不是,妖怪之山,妖怪
克劳恩皮丝,,是,2015,东方绀珠传 > 东方三月精,金色,是 > 是第5面,不是,异界 > 地狱 | 博丽神社,妖怪 > 妖精
堀川雷鼓,,是,2013,东方辉针城 > 东方智灵奇传,红色,是 > 是EX/PH面,不是,其他/不定,妖怪 > 付丧神
蕾蒂·霍瓦特洛克,,是,2003,东方妖妖梦 > 东方求闻史纪 | 东方文花帖（书籍）,蓝色,是 > 是第1面,不是,其他/不定,妖怪
蕾米莉亚·斯卡蕾特,,是,2002,东方红魔乡 > 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方智灵奇传,蓝色,是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,雾之湖周边 > 红魔馆,妖怪 > 吸血鬼
骊驹早鬼,,是,2019,东方鬼形兽 > 东方兽王园,黑/棕色,是 > 是EX/PH面,是 > 是弹幕作,异界 > 地狱 | 异界 > 畜生界,妖怪 > 妖兽
莉格露·奈特巴格,,是,2004,东方永夜抄 > 东方求闻史纪 | 东方文花帖（书籍）,绿色,是 > 是第1面,不是,其他/不定,妖怪
莉莉霍瓦特,莉莉白,是,2003,东方妖妖梦 > 东方求闻史纪 | 东方天空璋,金色,是 > 是第3面 | 是 > 是第4面,不是,其他/不定,妖怪 > 妖精
莉莉卡·普莉兹姆利巴,,是,2003,东方妖妖梦 > 东方花映塚 | 东方求闻史纪 | 东方文花帖（书籍）,银/白/灰色,是 > 是第4面,是 > 是弹幕作,其他/不定,妖怪 > 骚灵
灵乌路空,,是,2008,东方地灵殿 > 东方文花帖DS | 东方刚欲异闻 | 东方智灵奇传,黑/棕色,是 > 是第6面,是 > 是格斗作,地底 > 地灵殿 | 地底 > 核聚变炉,妖怪
铃瑚,,是,2015,东方绀珠传,金色,是 > 是第2面,不是,异界 > 月之都,妖怪 > 月兔
铃仙·优昙华院·因幡,,是,2004,东方永夜抄 > 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方绀珠传 | 东方深秘录 | 东方凭依华 | 东方智灵奇传,粉色,是 > 是第5面,是 > 是弹幕作 | 是 > 是格斗作,迷途竹林 > 永远亭,妖怪 > 月兔 | 妖怪 > 妖兽
露米娅,,是,2002,东方红魔乡 > 东方求闻史纪 | 东方文花帖（书籍）,金色,是 > 是第1面,不是,其他/不定,妖怪
露娜切露德,,是,2005,东方三月精 > 东方求闻史纪 | 东方文花帖（书籍）,金色,不是,不是,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精
露娜萨·普莉兹姆利巴,,是,2003,东方妖妖梦 > 东方花映塚 | 东方求闻史纪 | 东方文花帖（书籍）,金色,是 > 是第4面,是 > 是弹幕作,其他/不定,妖怪 > 骚灵
梅蒂欣·梅兰可莉,,是,2005,东方花映塚 > 东方求闻史纪,金色,不是,是 > 是弹幕作,无名之丘,妖怪
梅露兰·普莉兹姆利巴,,是,2003,东方妖妖梦 > 东方花映塚 | 东方求闻史纪 | 东方文花帖（书籍）,蓝色,是 > 是第4面,是 > 是弹幕作,其他/不定,妖怪 > 骚灵
米斯蒂娅·萝蕾拉,,是,2004,东方永夜抄 > 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方文花帖（书籍）,粉色,是 > 是第2面,是 > 是弹幕作,其他/不定,妖怪
绵月丰姬,,是,2007,东方儚月抄 > 东方锦上京,金色,是 > 是第5面,不是,异界 > 月之都,神明 > 月之民
绵月依姬,,是,2007,东方儚月抄,紫色,不是,不是,异界 > 月之都,神明 > 月之民
摩多罗隐岐奈,,是,2017,东方天空璋 > 东方三月精 | 东方醉蝶华 | 东方刚欲异闻,金色,是 > 是第6面 | 是 > 是EX/PH面,不是,异界 > 后户,神明
娜兹玲,,是,2009,东方星莲船 > 东方文花帖DS | 东方智灵奇传 | 东方兽王园,银/白/灰色,是 > 是第1面 | 是 > 是第5面,是 > 是弹幕作,命莲寺 | 其他/不定,妖怪 > 妖兽
牛崎润美,,是,2019,东方鬼形兽,银/白/灰色 | 黑/棕色,是 > 是第2面,不是,异界 > 彼岸/三途河,妖怪 > 鬼
帕秋莉·诺蕾姬,,是,2002,东方红魔乡 > 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方智灵奇传,紫色,是 > 是第4面 | 是 > 是EX/PH面,是 > 是格斗作,雾之湖周边 > 红魔馆,妖怪 > 魔法使
磐永阿梨夜,,是,2025,东方锦上京,黑/棕色,是 > 是第6面,不是,地底 > 浅间净秽山,神明
蓬莱山辉夜,,是,2004,东方永夜抄 > 东方求闻史纪 | 东方儚月抄 | 东方文花帖（书籍） | 东方智灵奇传,黑/棕色,是 > 是第6面,不是,迷途竹林 > 永远亭,神明 > 月之民
琪露诺,,是,2002,东方红魔乡 > 东方妖妖梦 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方文花帖（书籍） | 东方辉针城 | 东方天空璋,蓝色,是 > 是第1面 | 是 > 是第2面,是 > 是弹幕作 | 是 > 是格斗作,雾之湖周边 > 雾之湖,妖怪 > 妖精
琪斯美,,是,2008,东方地灵殿 > 东方文花帖DS,绿色,是 > 是第1面,不是,地底 > 昏暗的洞穴,妖怪
秦心,,是,2013,东方心绮楼 > 东方铃奈庵 | 东方深秘录 | 东方凭依华,粉色,不是,是 > 是格斗作,人类村落 | 其他/不定,妖怪 > 付丧神
清兰,,是,2015,东方绀珠传 > 东方兽王园,蓝色,是 > 是第1面,是 > 是弹幕作,异界 > 月之都,妖怪 > 月兔
秋静叶,,是,2007,东方风神录 > 东方文花帖DS,金色,是 > 是第1面,不是,妖怪之山,神明 > 八百万之神
秋穰子,,是,2007,东方风神录 > 东方文花帖DS,金色,是 > 是第1面,不是,妖怪之山,神明 > 八百万之神
犬走椛,,是,2007,东方风神录 > 东方文花帖DS,银/白/灰色,是 > 是第4面,不是,妖怪之山,妖怪 > 天狗
日白残无,,是,2023,东方兽王园,黑/棕色,不是,是 > 是弹幕作,异界 > 地狱,妖怪 > 鬼
戎璎花,,是,2019,东方鬼形兽,银/白/灰色,是 > 是第1面,不是,异界 > 彼岸/三途河,妖怪
若鹭姬,,是,2013,东方辉针城 > 东方智灵奇传,蓝色,是 > 是第1面,不是,雾之湖周边 > 雾之湖 | 其他/不定,妖怪
三头慧之子,,是,2023,东方兽王园,银/白/灰色,不是,是 > 是弹幕作,魔法森林,妖怪
桑尼米尔克,,是,2005,东方三月精 > 东方求闻史纪 | 东方文花帖（书籍）,橙色,不是,不是,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精
森近霖之助,,是,2004,东方香霖堂 > 东方求闻史纪 | 东方儚月抄 | 东方文花帖（书籍） | 东方铃奈庵 | 东方醉蝶华,银/白/灰色,不是,不是,魔法森林 > 香霖堂,妖怪 > 半人
山城高岭,,是,2021,东方虹龙洞,绿色,是 > 是第2面,不是,妖怪之山,妖怪
上白泽慧音,,是,2004,东方永夜抄 > 东方求闻史纪 | 东方文花帖（书籍）,蓝色 | 绿色 | 银/白/灰色,是 > 是第3面 | 是 > 是EX/PH面,不是,人类村落,妖怪 > 半人
少名针妙丸,,是,2013,东方辉针城 > 东方铃奈庵 | 东方深秘录 | 东方凭依华 | 东方智灵奇传,紫色,是 > 是第6面,是 > 是格斗作,幻想乡上空 > 辉针城,妖怪
射命丸文,,是,2005,东方文花帖（书籍） > 东方香霖堂 | 东方花映塚 | 东方三月精 | 东方风神录 | 东方儚月抄 | 东方绯想天 | 东方文花帖DS | 东方铃奈庵 | 东方天空璋 | 东方醉蝶华 | 东方智灵奇传,黑/棕色,是 > 是第4面,是 > 是弹幕作 | 是 > 是格斗作,妖怪之山,妖怪 > 天狗
圣白莲,,是,2009,东方星莲船 > 东方香霖堂 | 东方文花帖DS | 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方醉蝶华 | 东方智灵奇传,紫色 | 金色,是 > 是第6面,是 > 是格斗作,命莲寺,妖怪 > 魔法使
十六夜咲夜,,是,2002,东方红魔乡 > 东方妖妖梦 | 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方辉针城 | 东方醉蝶华 | 东方虹龙洞 | 东方智灵奇传,银/白/灰色,是 > 是第5面 | 是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,雾之湖周边 > 红魔馆,人类
矢田寺成美,,是,2017,东方天空璋 > 东方香霖堂,黑/棕色,是 > 是第4面,不是,魔法森林,妖怪 > 魔法使
水桥帕露西,,是,2008,东方地灵殿 > 东方文花帖DS | 东方智灵奇传,金色,是 > 是第2面,不是,地底 > 旧地狱,妖怪
斯塔萨菲雅,,是,2005,东方三月精 > 东方求闻史纪 | 东方文花帖（书籍）,黑/棕色,不是,不是,魔法森林 | 博丽神社 | 其他/不定,妖怪 > 妖精
四季映姬·夜摩仙那度,,是,2005,东方花映塚 > 东方三月精 | 东方求闻史纪,绿色,不是,是 > 是弹幕作,异界 > 彼岸/三途河,神明
苏我屠自古,,是,2011,东方神灵庙 > 东方智灵奇传,绿色,是 > 是第5面,不是,异界 > 神灵庙 | 异界 > 仙界,妖怪 > 亡灵 | 妖怪 > 怨灵
孙美天,,是,2023,东方兽王园 > 东方醉蝶华,黑/棕色,不是,是 > 是弹幕作,妖怪之山 > 圣域,妖怪
饕餮尤魔,,是,2021,东方刚欲异闻 > 东方兽王园,银/白/灰色,不是,是 > 是弹幕作 | 是 > 是格斗作,地底 > 旧血池地狱,妖怪
藤原妹红,,是,2004,东方永夜抄 > 东方求闻史纪 | 东方文花帖（书籍） | 东方深秘录 | 东方凭依华 | 东方智灵奇传,银/白/灰色,是 > 是EX/PH面,是 > 是格斗作,迷途竹林,人类
天弓千亦,,是,2021,东方虹龙洞 > 东方醉蝶华,蓝色 | 紫色,是 > 是第6面,不是,妖怪之山,神明
天火人血枪,,是,2023,东方兽王园,紫色,不是,是 > 是弹幕作,地底 > 旧血池地狱,妖怪
庭渡久侘歌,,是,2019,东方鬼形兽 > 东方刚欲异闻,金色,是 > 是第3面 | 是 > 是EX/PH面,不是,异界 > 地狱 | 妖怪之山,神明 > 八百万之神
维缦·浅间,,是,2025,东方锦上京,银/白/灰色,是 > 是第4面 | 是 > 是EX/PH面,不是,地底 > 浅间净秽山,神明
无名的读书妖怪,朱鹭子,是,2004,东方香霖堂,银/白/灰色,不是,不是,魔法森林 > 香霖堂 | 其他/不定,妖怪
物部布都,,是,2011,东方神灵庙 > 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方醉蝶华 | 东方智灵奇传,银/白/灰色,是 > 是第5面,是 > 是格斗作,异界 > 神灵庙 | 异界 > 仙界,神明 > 仙人/天人
雾雨魔理沙,,是,1997,东方封魔录 > 东方红魔乡 | 东方妖妖梦 | 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方风神录 | 东方儚月抄 | 东方绯想天 | 东方地灵殿 | 东方星莲船 | 东方茨歌仙 | 东方文花帖（书籍） | 东方文花帖DS | 东方神灵庙 | 东方铃奈庵 | 东方辉针城 | 东方心绮楼 | 东方绀珠传 | 东方深秘录 | 东方天空璋 | 东方凭依华 | 东方醉蝶华 | 东方鬼形兽 | 东方虹龙洞 | 东方刚欲异闻 | 东方智灵奇传 | 东方兽王园 | 东方锦上京,金色,是 > 是第4面,是 > 是弹幕作 | 是 > 是格斗作,魔法森林,人类
西行寺幽幽子,,是,2003,东方妖妖梦 > 东方永夜抄 | 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方神灵庙 | 东方智灵奇传,粉色,是 > 是第1面 | 是 > 是第6面,是 > 是弹幕作 | 是 > 是格斗作,异界 > 冥界,妖怪 > 亡灵
稀神探女,,是,2015,东方绀珠传,银/白/灰色,是 > 是第4面,不是,异界 > 月之都,神明 > 月之民
小恶魔,,是,2002,东方红魔乡,红色,是 > 是第4面,不是,雾之湖周边 > 红魔馆,妖怪
小野塚小町,,是,2005,东方花映塚 > 东方三月精 | 东方求闻史纪 | 东方绯想天 | 东方茨歌仙 | 东方醉蝶华,红色,不是,是 > 是弹幕作 | 是 > 是格斗作,异界 > 彼岸/三途河,神明
洩矢诹访子,,是,2007,东方风神录 > 东方茨歌仙 | 东方文花帖DS | 东方智灵奇传,金色,是 > 是EX/PH面,是 > 是格斗作,妖怪之山 > 守矢神社,神明 > 八百万之神
星熊勇仪,,是,2008,东方地灵殿 > 东方文花帖DS | 东方醉蝶华 | 东方刚欲异闻 | 东方智灵奇传,金色,是 > 是第3面,不是,地底 > 旧地狱,妖怪 > 鬼
伊吹萃香,,是,2004,东方萃梦想 > 东方三月精 | 东方求闻史纪 | 东方绯想天 | 东方茨歌仙 | 东方文花帖（书籍） | 东方文花帖DS | 东方醉蝶华 | 东方智灵奇传 | 东方兽王园,金色,不是,是 > 是弹幕作 | 是 > 是格斗作,妖怪之山,妖怪 > 鬼
依神女苑,,是,2017,东方凭依华 > 东方香霖堂 | 东方醉蝶华 | 东方刚欲异闻,金色,不是,是 > 是格斗作,其他/不定,神明
依神紫苑,,是,2017,东方凭依华 > 东方醉蝶华 | 东方刚欲异闻,蓝色,不是,是 > 是格斗作,其他/不定,神明
因幡帝,因幡天为,是,2004,东方永夜抄 > 东方花映塚 | 东方求闻史纪,黑/棕色,是 > 是第5面,是 > 是弹幕作,迷途竹林 > 永远亭,妖怪 > 妖兽
寅丸星,,是,2009,东方星莲船 > 东方文花帖DS | 东方智灵奇传,金色,是 > 是第5面,不是,命莲寺,妖怪 > 妖兽
永江衣玖,,是,2008,东方绯想天 > 东方文花帖DS,紫色,不是,是 > 是格斗作,幻想乡上空 > 玄云海,妖怪
幽谷响子,,是,2011,东方神灵庙 > 东方茨歌仙 | 东方智灵奇传,绿色,是 > 是第2面,不是,命莲寺 | 妖怪之山,妖怪 > 妖兽
宇佐见堇子,,是,2015,东方深秘录 > 东方香霖堂 | 东方凭依华,黑/棕色,不是,是 > 是弹幕作 | 是 > 是格斗作,外面世界 | 博丽神社 | 魔法森林 > 香霖堂,人类
玉造魅须丸,,是,2021,东方虹龙洞,黑/棕色,是 > 是第4面,不是,其他/不定,神明
豫母都日狭美,,是,2023,东方兽王园,黑/棕色,不是,是 > 是弹幕作,异界 > 地狱,妖怪
云居一轮&云山,,是,2009,东方星莲船 > 东方文花帖DS | 东方心绮楼 | 东方深秘录 | 东方凭依华 | 东方智灵奇传,紫色,是 > 是第3面,是 > 是格斗作,命莲寺,妖怪
杖刀偶磨弓,,是,2019,东方鬼形兽,金色,是 > 是第5面 | 是 > 是第6面,不是,异界 > 地狱 | 异界 > 畜生界,妖怪
埴安神袿姬,,是,2019,东方鬼形兽,蓝色,是 > 是第6面,不是,异界 > 地狱 | 异界 > 畜生界,神明
Reisen,铃仙二号,是,2007,东方儚月抄,蓝色,不是,不是,异界 > 月之都,妖怪 > 月兔
